Name,ethnolog_Size,ethnolog_Vitality,L1 speakers,L2 speakers,New wiki,Size of Wikipedia (Articles Column),language family,geographical location,geo location analysis,LDC,Is in Google,wiki pages,natural language processing,part of speech,grammar parsing| grammar parser,question answering,text classification,universal dependencies,ACL count,Is in XLMR,ELRA,Hugginface,kaggle,CC Size,Is in Facebook,Joshi Classes,mBERT,HF new
,https://www.ethnologue.com/size-and-vitality/mdd,,,,,https://en.wikipedia.org/wiki/List_of_Wikipedias#Details_table,,,,https://catalog.ldc.upenn.edu/search,https://translate.google.com/intl/en/about/languages/,,,,,,,https://universaldependencies.org/,,https://arxiv.org/pdf/1911.02116.pdf,https://lremap.elra.info/?q=english,https://huggingface.co/datasets,https://www.kaggle.com/datasets,https://commoncrawl.github.io/cc-crawl-statistics/plots/languages,"if the language is in 'Facebook' sheet, put 1, otherwise 0",,,
,size,vitality,,,,copy two columns in sheet  'wiki',,,,,0/1,,,,,,,,,,,,,copy numbers in last column,0/1,,,
Faiwol,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Fala,small,stable,,,,,,,,,,,,,,,,,2,,,,,,,,,
Fali,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Fali of Baissa,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Fam,small,endangered,,,,,,,,,,,,,,,,,45,,,,,,,,,
Fanamaket,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Fanbak,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Fang,large,institutional,,,,,,,,,,,,,,,,,3,,,4,,,,,,
Fania,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Farefare,mid,institutional,,,,,,,,,,,,,,,,,0,,,,,,,,,
Faroese,mid,institutional,"72,000",,"13,766","13,631",Indo-European,"Faroe Islands,  Denmark,  Greenland",Northern Europe,,,"39,981",252,367,16,32,46,1,7,,,11,,0.0034,1,1,,14
Fars,mid,endangered,,,,,,,,,,,,,,,,,39,,,,,,,,,
Fasu,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Fataleka,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Fataluku,mid,stable,,,,,,,,,,,,,,,,,1,,,,,,,,,
Fayu,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Fedan,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Fembe,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Feroge,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Fe’fe’,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Fijian,mid,institutional,"339,210","320,000","1,275","1,220",Austronesian,Fiji,Melanesia,,,"3,417",,,,,,,0,,,3,,0.0001,,1,,4
Fiji Hindi,mid,institutional,"460,000",,"10,267","39,736",Indo-European,Fiji,Melanesia,,,"10,087",,,,,,,,,,,,,,1,,
Filipino Sign Language,mid,stable,,,,,,,,,,,,,,,,,1,,,,,,,,,
Finland-Swedish Sign Language,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Finnish,large,institutional,5.8 million,,"534,131","517,700",Uralic," Finland,  Sweden ,  European Union,  Nordic Council,  Russia,  Karelia,  Norway",Northern Europe,-,1,"1,367,488",9780,7890,260,1760,1640,1,135,54.3,20,48,,0.3904,1,4,1,60
Finnish Sign Language,small,stable,,,,,,,,,,,21,45,1,6,0,,2,,,,,,,0,,
Finongan,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Fipa,mid,stable,,,,,,,,,,,9780,7890,260,1760,1640,,0,,,,,,,,,
Firan,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Fiwaga,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Flaaitaal,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Flemish Sign Language,small,stable,,,,,,,,,,,,,,,,,1,,,,,,,,,
Flinders Island,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Foau,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Foi,small,stable,,,,,,,,,,,,,,,,,1,,,,,,,,,
Foia Foia,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Folopa,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Foma,mid,stable,,,,,,,,,,,,,,,,,2,,,,,,,,,
Fon,large,institutional,,,,,,,,,,,,,,,,,16,,,,,,,,,
Fongoro,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Foodo,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Forak,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Fordata,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Fore,mid,stable,,,,,,,,,,,"35,600",20300,705,8880,7430,,246,,,,,,,0,,
Fortsenal,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
French,large,institutional,76.8 million,197 million,"2,437,710","2,376,320",Indo-European,France,Western Europe,27,1,"11,562,438",59800,43200,1120,14800,10200,1,1440,56.8,180,81,,4.4436,1,5,1,101
French Belgian Sign Language,small,stable,,,,,,,,,,,,,,,,,1,,,,,,,,,
French Sign Language,mid,stable,,,,,,,,,,,,,,,,,9,,3,,,,,,,
Frisian,mid,institutional,,,"64,977",180552,,,,,1,60914,452,760,11,100,62,1,5,,,,,0.0037,1,1,1,18
Friulian,mid,endangered,"420,000",,"3,760","3,451",Indo-European,Friuli,Southern Europe,,,"8,044",,,,,,,0,,,,,,1,1,,
Fulah,large,institutional,15000000,,418,360,Niger–Congo,Sahel,Western Africa,,,"2,247",,,,,,,0,,,5,,,,,,6
Fuliiru,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Fulumu,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Fum,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Fungwa,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Fur,mid,stable,,,,,,,,,,,25800,14500,587,8160,4950,,1195,,,,,,,0,,
Furu,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Futuna,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Futuna-Aniwa,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Fuyug,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Fwe,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Fwâi,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Fyer,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ga,mid,institutional,,,,,,,,,,,51,64,1,10,21,,722,,,,,,,0,,
Gaa,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gaam,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gabi-Gabi,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gabri,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gadaba,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Gadang,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gaddang,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gaddi,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gade,mid,stable,,,,,,,,,,,392,183,6,99,83,,1,,,,,,,0,,
Gadjerawang,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gadsup,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Gagadu,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gagauz,mid,stable,"148,720",,"2,792","2,795",Turkic,"Moldova,  Ukraine",Eastern Europe,,,"6,519",31,47,1,4,2,,1,,,,,,,1,,
Gahri,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gaikundi,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gail,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gaina,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gal,small,endangered,,,,,,,,,,,,,,,,,43,,,,,,,,,
Gala,small,endangered,,,,,,,,,,,,,,,,,7,,,,,,,,,
Galambu,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Galela,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Galeya,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Galice,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Galician,large,institutional,2.4 million,,"186,306","176,845",Indo-European,Galicia,Eastern Europe,-,1,"440,954",1230,889,30,272,180,1,23,2.9,6,25,,0.0379,1,3,1,28
Galolen,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gamane,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gambera,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gamilaraay,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Gamit,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gamkonora,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gamo,large,institutional,,,,,,,,,,,78,58,0,17,19,,2,,,,,,,0,,
Gamo-Ningi,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gan,large,stable,22 million,,"6,489","33,503",Sino-Tibetan,china,Eastern Asia,,,"6,454",,,,,,,,,,,,,,1,,
Gana,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ganang,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ganda,large,institutional,8.8 million,,"1,420","1,363",Niger–Congo,Uganda,Eastern Africa,,,"4,684",,,,,,,0,,,11,,0.001,1,1,,13
Gane,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ganggalida,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ganglau,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gangte,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gangulu,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gants,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ganza,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ganzi,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gao,small,stable,,,,,,,,,,,,,,,,,7,,,,,,,,,
Gapapaiwa,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Garasia,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Garhwali,large,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Garifuna,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Garig-Ilgar,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Garingbal,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Garlali,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Garo,large,institutional,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Garre,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Garrwa,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Garus,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Gata’,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gavak,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gavar,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gavião,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Gavião do Jiparaná,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gawar-Bati,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gawri,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gayil,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gayo,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Gazi,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ga’anda,mid,institutional,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ga’dang,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gbagyi,large,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gban,mid,stable,,,,,,,,,,,,,,,,,5,,,,,,,,,
Gbanu,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gbanziri,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gbari,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gbaya,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gbaya-Bossangoa,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gbaya-Bozoum,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gbaya-Mbodomo,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gbayi,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gbe,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gbii,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gciriku,mid,institutional,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ge,small,endangered,,,,,,,,,,,,,,,,,5997,,,,,,,,,
Gebe,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gebusi,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gedaged,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gedeo,large,institutional,,,,,,,,,,,,,,,,,0,,,,,,,,,
Geez,small,endangered,,,,,,,,,,,,,,,,,1,,,,,,,,,
Gela,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Gelao,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Geme,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gen,mid,institutional,,,,,,,,,,,,,,,,,4363,,,,,,,,,
Gende,small,stable,,,,,,,,,,,,,,,,,207,,,,,,,,,
Gengle,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Georgian,large,institutional,3.7 million,,"161,745","156,914",Kartvelian,Georgia,Western Asia,4,1,"445,515",1080,1190,26,187,150,,2,9.1,2,,,0.0355,1,3,1,29
Gepo,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gera,mid,endangered,,,,,,,,,,,,,,,,,11,,,,,,,,,
Gerai,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
German,large,institutional,90–95 million,10–25 million,"2,705,964","2,622,360",Indo-European,German,Western Europe,26,1,"7,263,808",73900,50300,1360,15700,12600,1,1325,66.6,216,81,,5.6073,1,5,1,102
German Sign Language,mid,stable,,,,,,,,,,,,,,,,,6,,3,,,,,,,
Geruma,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Geser-Gorom,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ghadamès,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ghale,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ghanaian Pidgin English,large,institutional,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ghanaian Sign Language,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ghandruk Sign Language,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ghanongga,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ghari,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ghayavi,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ghera,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ghodoberi,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ghomara,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ghomálá’,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ghotuo,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Ghulfan,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Gibanawa,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gichuka,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gidar,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Giiwo,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gikuyu,large,stable,6.6 million,,"1,502","1,501",Niger–Congo,Kenya,Eastern Africa,,,"3,060",,,,,,,1,,,,,,,,,1
Gikyode,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gilaki,large,institutional,2.4 million,,"6,408","6,345",Indo-European,iran,Southern Asia,,,"13,407",,,,,,,0,,,,,,,1,,
Gilima,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gilyak,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gimi,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gimme,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gimnime,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ginuman,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ginyanga,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Girawa,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Girirra,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Githabul,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gitua,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gitxsan,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Giyug,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Giziga,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Gizrra,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Glaro-Twabo,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Glavda,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Glio-Oubi,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gnau,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Goaria,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gobu,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Godié,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Godwari,large,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Goemai,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Gofa,mid,institutional,,,,,,,,,,,,,,,,,1,,,,,,,,,
Gogo,large,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gogodala,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Gokana,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Gola,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Golin,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Golpa,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gondi,large,stable,,,,,,,,,,,56,52,2,12,4,,3,,,,,,,0,,
Gone Dau,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gongduk,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gonja,mid,institutional,,,,,,,,,,,,,,,,,0,,,,,,,,,
Goodenough,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gooniyandi,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Gor,mid,stable,,,,,,,,,,,,,,,,,7,,,,,,,,,
Gorakor,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gorap,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Goreng,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gorontalo,mid,endangered,1 million,,"13,121","12,219",Austronesian,Indonesia,South-Eastern Asia,,,"18,252",,,,,,,0,,,,,,,1,,
Gorovu,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gorowa,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Goundo,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gourmanchéma,large,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gowlan,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gowli,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gowro,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gozarkhani,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Grangali,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Great Andamanese,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Grebo,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Greek,large,institutional,13.5 million,,"211,620","198,159",Indo-European,"Greece, Cyprus, Egypt, Turkey, southern Albania,Italy",Southern Europe,2,1,"593,172",18800,22000,494,4760,3120,1,129,46.9,5,47,,0.544,1,3,1,57
Greek Sign Language,mid,stable,,,,,,,,,,,114,46,8,12,3,,1,,,,,,,0,,
Greenlandic,mid,institutional,"56,000",,241,810,Eskimo–Aleut,"Greenland, Denmark",Northern America,,,"2,888",228,308,18,30,13,,1,,,,,0.0017,,1,,6
Grenadian English Creole,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gresi,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Groma,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gronings,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gros Ventre,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gua,mid,stable,,,,,,,,,,,,,,,,,26,,,,,,,,,
Guadeloupean French Creole,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Guahibo,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Guajajára,mid,institutional,,,,,,,,,,,,,,,,1,0,,,,,,,0,,
Guajá,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Guambiano,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Guana,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Guaraní,mid,stable,6.5 million,,"4,824","4,402",Tupian,"Paraguay,  Bolivia,  Argentina,  Brazil , Mercosur",South America,1,,"10,329",187,288,1,31,39,,4,,,9,,0.0007,1,1,,13
Guaraní,mid,stable,,,,,,,,,,,,,,,,,3,,,,,,,,,
Guarayu,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Guarequena,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Guatemalan Sign Language,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Guató,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Guayabero,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Gudang,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gudanji,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gude,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Gudu,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Guduf-Gava,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Guernésiais,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gugadj,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Gugu Badhun,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gugu Warra,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Guhu-Samane,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Guianese French Creole,mid,stable,"250,000–300,000",,"1,048","1,047",Creole,french guiana,South America,,,"2,545",,,,,,,0,,,,,,,0,,
Guinea-Bissau Creole,large,institutional,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Guinean Sign Language,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Guiqiong,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gujarati,large,institutional,56 million,4 million,"29,935","29,704",Indo-European,"India, South Africa",Southern Asia,,1,"111,738",1720,903,20,282,318,,33,1.9,,23,,0.0118,1,1,1,23
Gujari,large,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gula,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Gula Iro,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Gulay,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gula’alaa,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gule,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gumalu,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gumatj,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Gumawana,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Gumuz,mid,institutional,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Gun,large,stable,,,920,,,,,,,,,,,,,,9,,,,,,,,,
Gundi,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gunditjmara,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gundungurra,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gungabula,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gungu,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gunwinggu,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Gunya,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Gupa-Abawa,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gupapuyngu,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Guramalum,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gurani,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gurdjar,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gureng Gureng,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Gurgula,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gurindji,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Gurindji Kriol,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gurmana,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Guro,mid,stable,,,,,,,,,,,101,72,1,19,21,,1,,,,,,,0,,
Gurr-goni,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Gurung,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Guruntum-Mbaaru,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Gusilay,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Guugu Yimidhirr,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Guwa,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Guwamu,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Guya,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Guyanese English Creole,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Guyani,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Guébie,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
