Name,ethnolog_Size,ethnolog_Vitality,L1 speakers,L2 speakers,New wiki,Size of Wikipedia (Articles Column),language family,geographical location,geo location analysis,LDC,Is in Google,wiki pages,natural language processing,part of speech,grammar parsing| grammar parser,question answering,text classification,universal dependencies,ACL count,Is in XLMR,ELRA,Hugginface,kaggle,CC Size,Is in Facebook,Joshi Classes,mBERT,HF new
,https://www.ethnologue.com/size-and-vitality/mdd,,,,,https://en.wikipedia.org/wiki/List_of_Wikipedias#Details_table,,,,https://catalog.ldc.upenn.edu/search,https://translate.google.com/intl/en/about/languages/,,,,,,,https://universaldependencies.org/,,https://arxiv.org/pdf/1911.02116.pdf,https://lremap.elra.info/?q=english,https://huggingface.co/datasets,https://www.kaggle.com/datasets,https://commoncrawl.github.io/cc-crawl-statistics/plots/languages,"if the language is in 'Facebook' sheet, put 1, otherwise 0",,,
,size,vitality,,,,copy two columns in sheet  'wiki',,,,,0/1,,,,,,,,,,,,,copy numbers in last column,0/1,,,
Afro-Seminole Creole,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Agarabi,mid,stable,,,,,,,,,,,1,6,0,0,0,,0,,,,,,,0,,
Agariya,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Agatu,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Agavotaguerra,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Aghem,mid,stable,,,,,,,,,,,16,22,0,20,1,,0,,,,,,,0,,
Aghu,small,endangered,,,,,,,,,,,8,12,0,0,1,,0,,,,,,,0,,
Aghu-Tharnggala,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Aghul,mid,stable,,,,,,,,,,,2,13,0,0,0,,0,,,,,,,0,,
Agi,small,stable,,,,,,,,,,,,,,,,,10,,,,,,,,,
Agob,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Agoi,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Agta,small,stable,,,,,,,,,,,32,38,0,3,4,,0,,,,,,,0,,
Aguano,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Aguna,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Agutaynen,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Agwagwune,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ahanta,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Aheu,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ahirani,large,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ahom,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ahtena,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Ahwai,mid,stable,,,,,,,,,,,6,39,0,1,1,,0,,,,,,,,,
Ai-Cham,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Aighon,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Aikanã,small,endangered,,,,,,,,,,,0,0,0,0,0,,0,,,,,,,0,,
Aiklep,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Aimaq,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Aimol,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ainbai,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ainu,mid,endangered,,,,,,,,,,,162,279,2,27,27,,4,,,,,,,0,,
Aiome,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Airoran,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Aisi,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Aiton,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Aizi,small,stable,,,,,,,,,,,34,19,1,4,8,,0,,,,,,,0,,
Aja,small,endangered,,,,,,,,,,,1290,1030,7,334,285,,0,,,,,,,0,,
Ajawa,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ajiya,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ajië,small,stable,,,,,,,,,,,2,8,0,1,0,,0,,,,,,,0,,
Ajumbu,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ajyíninka Apurucayali,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ak,small,endangered,,,,,,,,,,,,,,,,,17,,,,,,,,,
Aka,small,endangered,,,,,,,,,,,12300,5230,189,3380,3220,,3,,,,,,,0,,
Aka-Bea,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Aka-Bo,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Aka-Cari,small,extinct,,,,,,,,,,,1,4,0,0,0,,0,,,,,,,0,,
Aka-Jeru,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Aka-Kede,small,extinct,,,,,,,,,,,1,4,0,0,0,,0,,,,,,,0,,
Aka-Kol,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Aka-Kora,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Akan,large,institutional,1689000,,"2,078","4,007",Niger–Congo,Ghana,Western Africa,1,,"4,561",3050,2520,26,603,1080,,1,,,2,,0.0001,1,1,,3
Akar-Bale,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Akaselem,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Akateko,mid,institutional,,,,,,,,,,,,,,,,,0,,,,,,,,,
Akawaio,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Ake,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Akebu,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Akei,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Akeu,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Akha,mid,institutional,,,,,,,,,,,33,64,1,5,0,,0,,,,,,,0,,
Akhvakh,small,endangered,,,,,,,,,,,4,32,0,1,0,,0,,,,,,,0,,
Aklanon,mid,institutional,,,,,,,,,,,8,18,0,1,0,,0,,,,,,,0,,
Akolet,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Akoose,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Akoye,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Akpa,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Akpes,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Akukem,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Akuku,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Akum,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Akuntsu,small,endangered,,,,,,,,,,,,,,,,1,0,,,,,,,,,
Akurio,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Akwa,mid,endangered,,,,,,,,,,,78,113,0,9,8,,0,,,,,,,0,,
Al-Sayyid Bedouin Sign Language,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Alaba-K’abeena,mid,institutional,,,,,,,,,,,,,,,,,0,,,,,,,,,
Alabama,small,endangered,,,,,,,,,,,3380,1840,58,971,595,,1,,,,,,,0,,
Alago,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Alagwa,mid,endangered,,,,,,,,,,,2,9,0,0,0,,0,,,,,,,0,,
Alak,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Alamblak,small,endangered,,,,,,,,,,,22,55,1,1,3,,0,,,,,,,0,,
Alangan,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Alawa,small,endangered,,,,,,,,,,,41,47,0,3,0,,0,,,,,,,0,,
Albanian,large,institutional,6 million,7.5 million,"85,828","84,009",Indo-European,"Albania,  Kosovo,  North Macedonia,  Montenegro,  Italy,  Serbia,  Croatia,  Romania",Southern Europe,1,1,"254,262",1080,1240,7,199,184,1,7,5.4,-,24,,0.0396,1,1,1,26
Albanian Sign Language,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
